word,UR,item_type,condition,file_name
mozve_token,mozve,HAn,fricative,mozve_token_raw.npy
mozvo_token,mozvo,HAn,fricative,mozvo_token_raw.npy
mozza_token,mozza,HAn,fricative,mozza_token_raw.npy
mozze_token,mozze,HAn,fricative,mozze_token_raw.npy
mozzo_token,mozzo,HAn,fricative,mozzo_token_raw.npy
navva_token,navva,HAn,fricative,navva_token_raw.npy
navve_token,navve,HAn,fricative,navve_token_raw.npy
navvo_token,navvo,HAn,fricative,navvo_token_raw.npy
navza_token,navza,HAn,fricative,navza_token_raw.npy
navze_token,navze,HAn,fricative,navze_token_raw.npy
navzo_token,navzo,HAn,fricative,navzo_token_raw.npy
nazva_token,nazva,HAn,fricative,nazva_token_raw.npy
nazve_token,nazve,HAn,fricative,nazve_token_raw.npy
nazvo_token,nazvo,HAn,fricative,nazvo_token_raw.npy
nazza_token,nazza,HAn,fricative,nazza_token_raw.npy
nazze_token,nazze,HAn,fricative,nazze_token_raw.npy
nazzo_token,nazzo,HAn,fricative,nazzo_token_raw.npy
nevva_token,nevva,HAn,fricative,nevva_token_raw.npy
nevve_token,nevve,HAn,fricative,nevve_token_raw.npy
nevvo_token,nevvo,HAn,fricative,nevvo_token_raw.npy
nevza_token,nevza,HAn,fricative,nevza_token_raw.npy
nevze_token,nevze,HAn,fricative,nevze_token_raw.npy
nevzo_token,nevzo,HAn,fricative,nevzo_token_raw.npy
nezva_token,nezva,HAn,fricative,nezva_token_raw.npy
nezve_token,nezve,HAn,fricative,nezve_token_raw.npy
nezvo_token,nezvo,HAn,fricative,nezvo_token_raw.npy
nezza_token,nezza,HAn,fricative,nezza_token_raw.npy
nezze_token,nezze,HAn,fricative,nezze_token_raw.npy
nezzo_token,nezzo,HAn,fricative,nezzo_token_raw.npy
novva_token,novva,HAn,fricative,novva_token_raw.npy
novve_token,novve,HAn,fricative,novve_token_raw.npy
novvo_token,novvo,HAn,fricative,novvo_token_raw.npy
novza_token,novza,HAn,fricative,novza_token_raw.npy
novze_token,novze,HAn,fricative,novze_token_raw.npy
novzo_token,novzo,HAn,fricative,novzo_token_raw.npy
nozva_token,nozva,HAn,fricative,nozva_token_raw.npy
nozve_token,nozve,HAn,fricative,nozve_token_raw.npy
nozvo_token,nozvo,HAn,fricative,nozvo_token_raw.npy
nozza_token,nozza,HAn,fricative,nozza_token_raw.npy
nozze_token,nozze,HAn,fricative,nozze_token_raw.npy
nozzo_token,nozzo,HAn,fricative,nozzo_token_raw.npy
wawwa_token,wawwa,HAo,glide,wawwa_token_raw.npy
wawwe_token,wawwe,HAo,glide,wawwe_token_raw.npy
wawwo_token,wawwo,HAo,glide,wawwo_token_raw.npy
wawja_token,wawja,HAo,glide,wawja_token_raw.npy
wawje_token,wawje,HAo,glide,wawje_token_raw.npy
wawjo_token,wawjo,HAo,glide,wawjo_token_raw.npy
wajwa_token,wajwa,HAo,glide,wajwa_token_raw.npy
wajwe_token,wajwe,HAo,glide,wajwe_token_raw.npy
wajwo_token,wajwo,HAo,glide,wajwo_token_raw.npy
wajja_token,wajja,HAo,glide,wajja_token_raw.npy
wajje_token,wajje,HAo,glide,wajje_token_raw.npy
wajjo_token,wajjo,HAo,glide,wajjo_token_raw.npy
wewwa_token,wewwa,HAo,glide,wewwa_token_raw.npy
wewwe_token,wewwe,HAo,glide,wewwe_token_raw.npy
wewwo_token,wewwo,HAo,glide,wewwo_token_raw.npy
wewja_token,wewja,HAo,glide,wewja_token_raw.npy
wewje_token,wewje,HAo,glide,wewje_token_raw.npy
wewjo_token,wewjo,HAo,glide,wewjo_token_raw.npy
wejwa_token,wejwa,HAo,glide,wejwa_token_raw.npy
wejwe_token,wejwe,HAo,glide,wejwe_token_raw.npy
wejwo_token,wejwo,HAo,glide,wejwo_token_raw.npy
wejja_token,wejja,HAo,glide,wejja_token_raw.npy
wejje_token,wejje,HAo,glide,wejje_token_raw.npy
wejjo_token,wejjo,HAo,glide,wejjo_token_raw.npy
wowwa_token,wowwa,HAo,glide,wowwa_token_raw.npy
wowwe_token,wowwe,HAo,glide,wowwe_token_raw.npy
wowwo_token,wowwo,HAo,glide,wowwo_token_raw.npy
wowja_token,wowja,HAo,glide,wowja_token_raw.npy
wowje_token,wowje,HAo,glide,wowje_token_raw.npy
wowjo_token,wowjo,HAo,glide,wowjo_token_raw.npy
wojwa_token,wojwa,HAo,glide,wojwa_token_raw.npy
wojwe_token,wojwe,HAo,glide,wojwe_token_raw.npy
wojwo_token,wojwo,HAo,glide,wojwo_token_raw.npy
wojja_token,wojja,HAo,glide,wojja_token_raw.npy
wojje_token,wojje,HAo,glide,wojje_token_raw.npy
wojjo_token,wojjo,HAo,glide,wojjo_token_raw.npy
jawwa_token,jawwa,HAo,glide,jawwa_token_raw.npy
jawwe_token,jawwe,HAo,glide,jawwe_token_raw.npy
jawwo_token,jawwo,HAo,glide,jawwo_token_raw.npy
jawja_token,jawja,HAo,glide,jawja_token_raw.npy
jawje_token,jawje,HAo,glide,jawje_token_raw.npy
jawjo_token,jawjo,HAo,glide,jawjo_token_raw.npy
jajwa_token,jajwa,HAo,glide,jajwa_token_raw.npy
jajwe_token,jajwe,HAo,glide,jajwe_token_raw.npy
jajwo_token,jajwo,HAo,glide,jajwo_token_raw.npy
jajja_token,jajja,HAo,glide,jajja_token_raw.npy
jajje_token,jajje,HAo,glide,jajje_token_raw.npy
jajjo_token,jajjo,HAo,glide,jajjo_token_raw.npy
jewwa_token,jewwa,HAo,glide,jewwa_token_raw.npy
jewwe_token,jewwe,HAo,glide,jewwe_token_raw.npy
jewwo_token,jewwo,HAo,glide,jewwo_token_raw.npy
jewja_token,jewja,HAo,glide,jewja_token_raw.npy
jewje_token,jewje,HAo,glide,jewje_token_raw.npy
jewjo_token,jewjo,HAo,glide,jewjo_token_raw.npy
jejwa_token,jejwa,HAo,glide,jejwa_token_raw.npy
jejwe_token,jejwe,HAo,glide,jejwe_token_raw.npy
jejwo_token,jejwo,HAo,glide,jejwo_token_raw.npy
jejja_token,jejja,HAo,glide,jejja_token_raw.npy
jejje_token,jejje,HAo,glide,jejje_token_raw.npy
jejjo_token,jejjo,HAo,glide,jejjo_token_raw.npy
jowwa_token,jowwa,HAo,glide,jowwa_token_raw.npy
jowwe_token,jowwe,HAo,glide,jowwe_token_raw.npy
jowwo_token,jowwo,HAo,glide,jowwo_token_raw.npy
jowja_token,jowja,HAo,glide,jowja_token_raw.npy
jowje_token,jowje,HAo,glide,jowje_token_raw.npy
jowjo_token,jowjo,HAo,glide,jowjo_token_raw.npy
jojwa_token,jojwa,HAo,glide,jojwa_token_raw.npy
jojwe_token,jojwe,HAo,glide,jojwe_token_raw.npy
jojwo_token,jojwo,HAo,glide,jojwo_token_raw.npy
jojja_token,jojja,HAo,glide,jojja_token_raw.npy
jojje_token,jojje,HAo,glide,jojje_token_raw.npy
jojjo_token,jojjo,HAo,glide,jojjo_token_raw.npy
pawwa_token,pawwa,HAo,glide,pawwa_token_raw.npy
pawwe_token,pawwe,HAo,glide,pawwe_token_raw.npy
pawwo_token,pawwo,HAo,glide,pawwo_token_raw.npy
pawja_token,pawja,HAo,glide,pawja_token_raw.npy
pawje_token,pawje,HAo,glide,pawje_token_raw.npy
pawjo_token,pawjo,HAo,glide,pawjo_token_raw.npy
pajwa_token,pajwa,HAo,glide,pajwa_token_raw.npy
pajwe_token,pajwe,HAo,glide,pajwe_token_raw.npy
pajwo_token,pajwo,HAo,glide,pajwo_token_raw.npy
pajja_token,pajja,HAo,glide,pajja_token_raw.npy
pajje_token,pajje,HAo,glide,pajje_token_raw.npy
pajjo_token,pajjo,HAo,glide,pajjo_token_raw.npy
pewwa_token,pewwa,HAo,glide,pewwa_token_raw.npy
pewwe_token,pewwe,HAo,glide,pewwe_token_raw.npy
pewwo_token,pewwo,HAo,glide,pewwo_token_raw.npy
pewja_token,pewja,HAo,glide,pewja_token_raw.npy
pewje_token,pewje,HAo,glide,pewje_token_raw.npy
pewjo_token,pewjo,HAo,glide,pewjo_token_raw.npy
pejwa_token,pejwa,HAo,glide,pejwa_token_raw.npy
pejwe_token,pejwe,HAo,glide,pejwe_token_raw.npy
pejwo_token,pejwo,HAo,glide,pejwo_token_raw.npy
pejja_token,pejja,HAo,glide,pejja_token_raw.npy
pejje_token,pejje,HAo,glide,pejje_token_raw.npy
pejjo_token,pejjo,HAo,glide,pejjo_token_raw.npy
powwa_token,powwa,HAo,glide,powwa_token_raw.npy
powwe_token,powwe,HAo,glide,powwe_token_raw.npy
powwo_token,powwo,HAo,glide,powwo_token_raw.npy
powja_token,powja,HAo,glide,powja_token_raw.npy
powje_token,powje,HAo,glide,powje_token_raw.npy
powjo_token,powjo,HAo,glide,powjo_token_raw.npy
pojwa_token,pojwa,HAo,glide,pojwa_token_raw.npy
pojwe_token,pojwe,HAo,glide,pojwe_token_raw.npy
pojwo_token,pojwo,HAo,glide,pojwo_token_raw.npy
pojja_token,pojja,HAo,glide,pojja_token_raw.npy
pojje_token,pojje,HAo,glide,pojje_token_raw.npy
pojjo_token,pojjo,HAo,glide,pojjo_token_raw.npy
tawwa_token,tawwa,HAo,glide,tawwa_token_raw.npy
tawwe_token,tawwe,HAo,glide,tawwe_token_raw.npy
tawwo_token,tawwo,HAo,glide,tawwo_token_raw.npy
tawja_token,tawja,HAo,glide,tawja_token_raw.npy
tawje_token,tawje,HAo,glide,tawje_token_raw.npy
tawjo_token,tawjo,HAo,glide,tawjo_token_raw.npy
tajwa_token,tajwa,HAo,glide,tajwa_token_raw.npy
tajwe_token,tajwe,HAo,glide,tajwe_token_raw.npy
tajwo_token,tajwo,HAo,glide,tajwo_token_raw.npy
tajja_token,tajja,HAo,glide,tajja_token_raw.npy
tajje_token,tajje,HAo,glide,tajje_token_raw.npy
tajjo_token,tajjo,HAo,glide,tajjo_token_raw.npy
tewwa_token,tewwa,HAo,glide,tewwa_token_raw.npy
tewwe_token,tewwe,HAo,glide,tewwe_token_raw.npy
tewwo_token,tewwo,HAo,glide,tewwo_token_raw.npy
tewja_token,tewja,HAo,glide,tewja_token_raw.npy
tewje_token,tewje,HAo,glide,tewje_token_raw.npy
tewjo_token,tewjo,HAo,glide,tewjo_token_raw.npy
tejwa_token,tejwa,HAo,glide,tejwa_token_raw.npy
tejwe_token,tejwe,HAo,glide,tejwe_token_raw.npy
tejwo_token,tejwo,HAo,glide,tejwo_token_raw.npy
tejja_token,tejja,HAo,glide,tejja_token_raw.npy
tejje_token,tejje,HAo,glide,tejje_token_raw.npy
tejjo_token,tejjo,HAo,glide,tejjo_token_raw.npy
towwa_token,towwa,HAo,glide,towwa_token_raw.npy
towwe_token,towwe,HAo,glide,towwe_token_raw.npy
towwo_token,towwo,HAo,glide,towwo_token_raw.npy
towja_token,towja,HAo,glide,towja_token_raw.npy
towje_token,towje,HAo,glide,towje_token_raw.npy
towjo_token,towjo,HAo,glide,towjo_token_raw.npy
tojwa_token,tojwa,HAo,glide,tojwa_token_raw.npy
tojwe_token,tojwe,HAo,glide,tojwe_token_raw.npy
tojwo_token,tojwo,HAo,glide,tojwo_token_raw.npy
tojja_token,tojja,HAo,glide,tojja_token_raw.npy
tojje_token,tojje,HAo,glide,tojje_token_raw.npy
tojjo_token,tojjo,HAo,glide,tojjo_token_raw.npy
vavva_token,vavva,HAo,fricative,vavva_token_raw.npy
vavve_token,vavve,HAo,fricative,vavve_token_raw.npy
vavvo_token,vavvo,HAo,fricative,vavvo_token_raw.npy
vavza_token,vavza,HAo,fricative,vavza_token_raw.npy
vavze_token,vavze,HAo,fricative,vavze_token_raw.npy
vavzo_token,vavzo,HAo,fricative,vavzo_token_raw.npy
vazva_token,vazva,HAo,fricative,vazva_token_raw.npy
vazve_token,vazve,HAo,fricative,vazve_token_raw.npy
vazvo_token,vazvo,HAo,fricative,vazvo_token_raw.npy
vazza_token,vazza,HAo,fricative,vazza_token_raw.npy
vazze_token,vazze,HAo,fricative,vazze_token_raw.npy
vazzo_token,vazzo,HAo,fricative,vazzo_token_raw.npy
vevva_token,vevva,HAo,fricative,vevva_token_raw.npy
vevve_token,vevve,HAo,fricative,vevve_token_raw.npy
vevvo_token,vevvo,HAo,fricative,vevvo_token_raw.npy
vevza_token,vevza,HAo,fricative,vevza_token_raw.npy
vevze_token,vevze,HAo,fricative,vevze_token_raw.npy
vevzo_token,vevzo,HAo,fricative,vevzo_token_raw.npy
vezva_token,vezva,HAo,fricative,vezva_token_raw.npy
vezve_token,vezve,HAo,fricative,vezve_token_raw.npy
vezvo_token,vezvo,HAo,fricative,vezvo_token_raw.npy
vezza_token,vezza,HAo,fricative,vezza_token_raw.npy
vezze_token,vezze,HAo,fricative,vezze_token_raw.npy
vezzo_token,vezzo,HAo,fricative,vezzo_token_raw.npy
vovva_token,vovva,HAo,fricative,vovva_token_raw.npy
vovve_token,vovve,HAo,fricative,vovve_token_raw.npy
vovvo_token,vovvo,HAo,fricative,vovvo_token_raw.npy
vovza_token,vovza,HAo,fricative,vovza_token_raw.npy
vovze_token,vovze,HAo,fricative,vovze_token_raw.npy
vovzo_token,vovzo,HAo,fricative,vovzo_token_raw.npy
vozva_token,vozva,HAo,fricative,vozva_token_raw.npy
vozve_token,vozve,HAo,fricative,vozve_token_raw.npy
vozvo_token,vozvo,HAo,fricative,vozvo_token_raw.npy
vozza_token,vozza,HAo,fricative,vozza_token_raw.npy
vozze_token,vozze,HAo,fricative,vozze_token_raw.npy
vozzo_token,vozzo,HAo,fricative,vozzo_token_raw.npy
zavva_token,zavva,HAo,fricative,zavva_token_raw.npy
zavve_token,zavve,HAo,fricative,zavve_token_raw.npy
zavvo_token,zavvo,HAo,fricative,zavvo_token_raw.npy
zavza_token,zavza,HAo,fricative,zavza_token_raw.npy
zavze_token,zavze,HAo,fricative,zavze_token_raw.npy
zavzo_token,zavzo,HAo,fricative,zavzo_token_raw.npy
zazva_token,zazva,HAo,fricative,zazva_token_raw.npy
zazve_token,zazve,HAo,fricative,zazve_token_raw.npy
zazvo_token,zazvo,HAo,fricative,zazvo_token_raw.npy
zazza_token,zazza,HAo,fricative,zazza_token_raw.npy
zazze_token,zazze,HAo,fricative,zazze_token_raw.npy
zazzo_token,zazzo,HAo,fricative,zazzo_token_raw.npy
zevva_token,zevva,HAo,fricative,zevva_token_raw.npy
zevve_token,zevve,HAo,fricative,zevve_token_raw.npy
zevvo_token,zevvo,HAo,fricative,zevvo_token_raw.npy
zevza_token,zevza,HAo,fricative,zevza_token_raw.npy
zevze_token,zevze,HAo,fricative,zevze_token_raw.npy
zevzo_token,zevzo,HAo,fricative,zevzo_token_raw.npy
zezva_token,zezva,HAo,fricative,zezva_token_raw.npy
zezve_token,zezve,HAo,fricative,zezve_token_raw.npy
zezvo_token,zezvo,HAo,fricative,zezvo_token_raw.npy
zezza_token,zezza,HAo,fricative,zezza_token_raw.npy
zezze_token,zezze,HAo,fricative,zezze_token_raw.npy
zezzo_token,zezzo,HAo,fricative,zezzo_token_raw.npy
zovva_token,zovva,HAo,fricative,zovva_token_raw.npy
zovve_token,zovve,HAo,fricative,zovve_token_raw.npy
zovvo_token,zovvo,HAo,fricative,zovvo_token_raw.npy
zovza_token,zovza,HAo,fricative,zovza_token_raw.npy
zovze_token,zovze,HAo,fricative,zovze_token_raw.npy
zovzo_token,zovzo,HAo,fricative,zovzo_token_raw.npy
zozva_token,zozva,HAo,fricative,zozva_token_raw.npy
zozve_token,zozve,HAo,fricative,zozve_token_raw.npy
zozvo_token,zozvo,HAo,fricative,zozvo_token_raw.npy
zozza_token,zozza,HAo,fricative,zozza_token_raw.npy
zozze_token,zozze,HAo,fricative,zozze_token_raw.npy
zozzo_token,zozzo,HAo,fricative,zozzo_token_raw.npy
pavva_token,pavva,HAo,fricative,pavva_token_raw.npy
pavve_token,pavve,HAo,fricative,pavve_token_raw.npy
pavvo_token,pavvo,HAo,fricative,pavvo_token_raw.npy
pavza_token,pavza,HAo,fricative,pavza_token_raw.npy
pavze_token,pavze,HAo,fricative,pavze_token_raw.npy
pavzo_token,pavzo,HAo,fricative,pavzo_token_raw.npy
pazva_token,pazva,HAo,fricative,pazva_token_raw.npy
pazve_token,pazve,HAo,fricative,pazve_token_raw.npy
pazvo_token,pazvo,HAo,fricative,pazvo_token_raw.npy
pazza_token,pazza,HAo,fricative,pazza_token_raw.npy
pazze_token,pazze,HAo,fricative,pazze_token_raw.npy
pazzo_token,pazzo,HAo,fricative,pazzo_token_raw.npy
pevva_token,pevva,HAo,fricative,pevva_token_raw.npy
pevve_token,pevve,HAo,fricative,pevve_token_raw.npy
pevvo_token,pevvo,HAo,fricative,pevvo_token_raw.npy
pevza_token,pevza,HAo,fricative,pevza_token_raw.npy
pevze_token,pevze,HAo,fricative,pevze_token_raw.npy
pevzo_token,pevzo,HAo,fricative,pevzo_token_raw.npy
pezva_token,pezva,HAo,fricative,pezva_token_raw.npy
pezve_token,pezve,HAo,fricative,pezve_token_raw.npy
pezvo_token,pezvo,HAo,fricative,pezvo_token_raw.npy
pezza_token,pezza,HAo,fricative,pezza_token_raw.npy
pezze_token,pezze,HAo,fricative,pezze_token_raw.npy
pezzo_token,pezzo,HAo,fricative,pezzo_token_raw.npy
povva_token,povva,HAo,fricative,povva_token_raw.npy
povve_token,povve,HAo,fricative,povve_token_raw.npy
povvo_token,povvo,HAo,fricative,povvo_token_raw.npy
povza_token,povza,HAo,fricative,povza_token_raw.npy
povze_token,povze,HAo,fricative,povze_token_raw.npy
povzo_token,povzo,HAo,fricative,povzo_token_raw.npy
pozva_token,pozva,HAo,fricative,pozva_token_raw.npy
pozve_token,pozve,HAo,fricative,pozve_token_raw.npy
pozvo_token,pozvo,HAo,fricative,pozvo_token_raw.npy
pozza_token,pozza,HAo,fricative,pozza_token_raw.npy
pozze_token,pozze,HAo,fricative,pozze_token_raw.npy
pozzo_token,pozzo,HAo,fricative,pozzo_token_raw.npy
tavva_token,tavva,HAo,fricative,tavva_token_raw.npy
tavve_token,tavve,HAo,fricative,tavve_token_raw.npy
tavvo_token,tavvo,HAo,fricative,tavvo_token_raw.npy
tavza_token,tavza,HAo,fricative,tavza_token_raw.npy
tavze_token,tavze,HAo,fricative,tavze_token_raw.npy
tavzo_token,tavzo,HAo,fricative,tavzo_token_raw.npy
tazva_token,tazva,HAo,fricative,tazva_token_raw.npy
tazve_token,tazve,HAo,fricative,tazve_token_raw.npy
tazvo_token,tazvo,HAo,fricative,tazvo_token_raw.npy
tazza_token,tazza,HAo,fricative,tazza_token_raw.npy
tazze_token,tazze,HAo,fricative,tazze_token_raw.npy
tazzo_token,tazzo,HAo,fricative,tazzo_token_raw.npy
tevva_token,tevva,HAo,fricative,tevva_token_raw.npy
tevve_token,tevve,HAo,fricative,tevve_token_raw.npy
tevvo_token,tevvo,HAo,fricative,tevvo_token_raw.npy
tevza_token,tevza,HAo,fricative,tevza_token_raw.npy
tevze_token,tevze,HAo,fricative,tevze_token_raw.npy
tevzo_token,tevzo,HAo,fricative,tevzo_token_raw.npy
tezva_token,tezva,HAo,fricative,tezva_token_raw.npy
tezve_token,tezve,HAo,fricative,tezve_token_raw.npy
tezvo_token,tezvo,HAo,fricative,tezvo_token_raw.npy
tezza_token,tezza,HAo,fricative,tezza_token_raw.npy
tezze_token,tezze,HAo,fricative,tezze_token_raw.npy
tezzo_token,tezzo,HAo,fricative,tezzo_token_raw.npy
tovva_token,tovva,HAo,fricative,tovva_token_raw.npy
tovve_token,tovve,HAo,fricative,tovve_token_raw.npy
tovvo_token,tovvo,HAo,fricative,tovvo_token_raw.npy
tovza_token,tovza,HAo,fricative,tovza_token_raw.npy
tovze_token,tovze,HAo,fricative,tovze_token_raw.npy
tovzo_token,tovzo,HAo,fricative,tovzo_token_raw.npy
tozva_token,tozva,HAo,fricative,tozva_token_raw.npy
tozve_token,tozve,HAo,fricative,tozve_token_raw.npy
tozvo_token,tozvo,HAo,fricative,tozvo_token_raw.npy
tozza_token,tozza,HAo,fricative,tozza_token_raw.npy
tozze_token,tozze,HAo,fricative,tozze_token_raw.npy
tozzo_token,tozzo,HAo,fricative,tozzo_token_raw.npy
mawpa_token_a,mawpa,SGn-A,glide,mawpa_token_a_raw.npy
mawpe_token_a,mawpe,SGn-A,glide,mawpe_token_a_raw.npy
mawpo_token_a,mawpo,SGn-A,glide,mawpo_token_a_raw.npy
mawta_token_a,mawta,SGn-A,glide,mawta_token_a_raw.npy
mawte_token_a,mawte,SGn-A,glide,mawte_token_a_raw.npy
mawto_token_a,mawto,SGn-A,glide,mawto_token_a_raw.npy
majpa_token_a,majpa,SGn-A,glide,majpa_token_a_raw.npy
majpe_token_a,majpe,SGn-A,glide,majpe_token_a_raw.npy
majpo_token_a,majpo,SGn-A,glide,majpo_token_a_raw.npy
majta_token_a,majta,SGn-A,glide,majta_token_a_raw.npy
majte_token_a,majte,SGn-A,glide,majte_token_a_raw.npy
majto_token_a,majto,SGn-A,glide,majto_token_a_raw.npy
mewpa_token_a,mewpa,SGn-A,glide,mewpa_token_a_raw.npy
mewpe_token_a,mewpe,SGn-A,glide,mewpe_token_a_raw.npy
mewpo_token_a,mewpo,SGn-A,glide,mewpo_token_a_raw.npy
mewta_token_a,mewta,SGn-A,glide,mewta_token_a_raw.npy
mewte_token_a,mewte,SGn-A,glide,mewte_token_a_raw.npy
mewto_token_a,mewto,SGn-A,glide,mewto_token_a_raw.npy
mejpa_token_a,mejpa,SGn-A,glide,mejpa_token_a_raw.npy
mejpe_token_a,mejpe,SGn-A,glide,mejpe_token_a_raw.npy
